涉及疾病,涉及疾病的编号,疾病描述
Nasopharyngeal cancer,H00054,"Nasopharyngeal carcinoma (NPC) is a rare disease in most parts of the world, with an age-standardised annual incidence of less than 1 per 100000. However, in Southern China, parts of Southeast Asia and the Mediterranean basin, NPC is an endemic disease with an incidence of 10-30 per 100000. Genome-wide studies have unravelled multiple chromosomal abnormalities with involvement of specific oncogenes and tumor suppressor genes. Alterations of genes such as Ras association domain family 1A (RASSF1A), p16/INK4A, p14/ARF suggest that multiple cellular pathways were dysregulated in the NPC cells. Studies on the precancerous lesions revealed early genetic changes and a critical role of Epstein- Barr virus (EBV) latent infection in the development of this cancer."
Follicular lymphoma,H01613,"Follicular lymphoma (FL) is generally an indolent B cell lymphoproliferative disorder of transformed follicular center B cells. FL is characterized by diffuse lymphoadenopathy, bone marrow involvement, splenomegaly, and less commonly other extranodal sites of involvement. The genetic hallmark of FL, the translocation t(14;18)(q32;q21), results in the constitutive overexpression of the bcl 2 protein, which impairs the normal germinal centre apoptotic programme. Inactivating mutations of MLL2 are found in >80% of FL and interfere with the ability of MLL2 to activate gene transcription through H3K4 methylation. Mutations of other histone modifiers (CREBBP, EZH2, MEF2B, and EP300) are found in ;33%, 27%, 15%, and 9% of FL, respectively."
Schizophrenia,H01649,"Schizophrenia (SCZD) is a common serious psychotic illness that typically emerges in late adolescence and early adulthood. It is characterized by hallucinations and delusions (commonly known as positive symptoms), social withdrawal, alogia, and flat affect (negative symptoms), and cognitive disabilities. While treatments exist for the psychotic symptoms of schizophrenia, there is no effective therapy to prevent the cognitive impairments. The disorder is substantially heritable, but expression of the clinical phenotype is likely to involve the interplay of multiple susceptibility variants, epigenetic factors, and environmental influences. Although it has been suggested that many of the promising candidate genes are involved in the development and maintenance of synaptic function, the most of them remains to be identified. The pathogenic mechanisms underlying schizophrenia are unknown, but observers have repeatedly noted pathological features involving excessive loss of gray matter and reduced numbers of synaptic structures on neurons. Recently, it has been found that alleles of the C4 genes are associated with schizophrenia in proportion to their tendency to promote greater expression of C4A in the brain."
Perry syndrome,H00879,"Perry syndrome is a rapidly progressive, autosomal dominant, neurodegenerative disorder. The cardinal symptoms consist of parkinsonism, depression, severe weight loss and hypoventilation. At a molecular level, Perry syndrome is characterized by TDP-43 inclusions indicating a pathological overlap with amyotrophic lateral sclerosis (ALS) and some forms of frontotemporal lobar degeneration (FTLD). Perry syndrome has recently been identified as being due to mutations in the DCTN1 gene, encoding the component of the dynactin complex."
Primary ciliary dyskinesia,H00564,"Primary ciliary dyskinesia (PCD) is an autosomal recessive disorder with recurrent oto-sinopulmonary infections, bronchiectasis, and infertility owing to impaired motile ciliary function. Alterations in the left-right organization of the internal organ positioning, which is caused by dysfunctional nodal cilia in early developmental stage, occur in approximately 50% of PCD patients and this combination is referred as Kartagener syndrome."
Spermatogenic failure,H01282,"Spermatogenic failure is reflected in a lower or absent production of spermatozoa and is described by routine semen analysis using terms such as azoospermia, oligozoospermia, teratozoospermia or asthenozoospermia. The genetic causes of spermatogenetic failure still remain largely unknown. It has been estimated that more than 2300 genes play a role in spermatogenesis."
Congenital mirror movements,H01287,"Mirror movements (MRMV) are involuntary movements of one side of the body that mirror intentional movements on the opposite side. While mirror movements are occasionally found in young children, persistence beyond the age of 10 is abnormal. Congenital mirror movements is a rare disorder that is mainly inherited in an autosomal-dominant fashion. Mutations in DCC, the gene encoding receptor for netrin 1 have been identified in MRMV patients. It has also been reported that RAD51 haploinsufficiency causes the heterogeneous MRMV."
Juvenile-onset dystonia,H01255,"Juvenile-onset dystonia, also known as Dystonia-deafness syndrome 1 (DDS1), is a rare progressive neurodegenerative disorder with a primarily dystonic phenotype of juvenile onset, caused by a mutation in one of the major forms of nonmuscle actin gene, ACTB, which is associated with a broad spectrum of developmental malformations and/or neurological abnormalities such as dystonia."
Baraitser-Winter syndrome,H02023,"Baraitser-Winter malformation syndrome (BWMS) is characterized by short stature, hypertelorism, bilateral ptosis, ocular coloboma, metopic ridging and agyria/pachygyria. Recently, it has been reported that BWMS is associated with missense mutations in one of the two cytoplasmic beta- and gamma- actin encoding genes ACTB and ACTG1."
Becker nevus syndrome,H02716,"Becker nevus syndrome (BNS) is a epidermal nevus syndrome characterized by the presence of a particular type of organoid epithelial nevus showing circumscribed hyperpigmentation with hypertrichosis, and developmental abnormalities of different organ systems. It has been identified that mutations in ACTB, encoding for beta-actin, are associated with BNS."
"Deafness, autosomal dominant",H00604,"Hereditary deafness is divided into syndromic forms (in which hearing loss is associated with a variety of other anomalies) and non-syndromic forms. Non-syndromic forms are responsible for 70% of the cases of hereditary etiology and syndromic cases represent 30% of them. Among the forms of heritage, autosomal-recessive inheritance is the most frequent one (75%-85%), followed by autosomal-dominant inheritance (12-13%) and X-linked or mitochondrial, with 2-3% of the cases of non-syndromic hearing loss. Autosomal-dominant forms of deafness are usually post-lingual and progressive. Dominant mutations may be consistent with initial function and subsequent hearing loss owing to accumulation of pathology."
Bilateral sudden sensorineural hearing loss,H01705,"Bilateral sudden sensorineural hearing loss (SNHL) represents a rare disease entity, constituting less than 5 % of all sudden SNHL cases. Unlike unilateral disease, bilateral sudden SNHL appears to be mostly related to serious systemic pathology, and is associated with a more severe degree of hearing loss, poorer prognosis following treatment, and more significant impairment in morbidity and overall quality of life."
Essential tremor,H01577,"Essential tremor (ET) is a neurological disorder that is considered to be one of the most common adult-onset movement disorders. ET is typically characterized by rhythmic, involuntary shaking of one or more parts of the body, and occurs exclusively during voluntary movements (action tremor) or in positions against gravity (postural tremor). The phenotypic severity of ET is variable, as evidenced by the existence of both highly disabling and milder forms of the disease. There are three subtypes of ET, namely hereditary, sporadic, and senile, and most studies indicate that ET is a hereditary disorder in more than half of affected individuals (and presumably has autosomal-dominant inheritance). The diagnostic approach includes obtaining a history, physical examination, and laboratory tests. At present, there are no validated serologic, radiologic, or pathological markers."
Nephrotic syndrome,H01657,"Nephrotic syndrome (NPHS) is a heterogeneous group of disorders characterized by heavy proteinuria (more than 3.5 grams per day), hypoalbuminemia, hyperlipidemia, and edema. Congenital nephrotic syndrome is most frequently related to mutations in genes specific for structural integrity of the glomerular basement membrane and associated filtration structures within the kidney, resulting in massive leakage of plasma proteins into the urine. First line treatment is with oral corticosteroids, but some patients do not respond to this treatment. Steroid-resistant nephrotic syndrome (SRNS) typically manifests histologically as focal segmental glomerulosclerosis. Calcineurin inhibitors with/without intravenous methylprednisolone pulse therapy (MPT) constitute the standard treatment for SRNS. It has been reported that additional rituximab treatment combined with conventional MPT and immunosuppressive agents is a promising option."
