涉及疾病,涉及疾病的编号,涉及疾病的通路,通路编号
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Thermogenesis,hsa04714
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Oxidative phosphorylation,hsa00190
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Porphyrin metabolism,hsa00860
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Cardiac muscle contraction,hsa04260
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Microphthalmia with linear skin defects syndrome; Linear skin defects with multiple congenital anomalies; MIDAS syndrome,H01904,Oxidative phosphorylation,hsa00190
Microphthalmia with linear skin defects syndrome; Linear skin defects with multiple congenital anomalies; MIDAS syndrome,H01904,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Aminoacyl-tRNA biosynthesis,hsa00970
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Oxidative phosphorylation,hsa00190
Leber hereditary optic neuropathy and dystonia,H01365,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Cardiac muscle contraction,hsa04260
Leber hereditary optic neuropathy and dystonia,H01365,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Cardiac muscle contraction,hsa04260
Leber hereditary optic neuropathy and dystonia,H01365,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Aminoacyl-tRNA biosynthesis,hsa00970
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Cardiac muscle contraction,hsa04260
Myoclonic Epilepsy and Ragged-Red Fiber Disease; MERRF syndrome; Fukuhara syndrome,H01356,Aminoacyl-tRNA biosynthesis,hsa00970
Myoclonic Epilepsy and Ragged-Red Fiber Disease; MERRF syndrome; Fukuhara syndrome,H01356,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Oxidative phosphorylation,hsa00190
Leber hereditary optic atrophy; Leber optic atrophy,H00068,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Aminoacyl-tRNA biosynthesis,hsa00970
"MELAS syndrome; Mitochondrial myopathy, Encephalopathy, Lactic Acidosis, Stroke-like episodes",H01347,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Oxidative phosphorylation,hsa00190
Kearns-Sayre syndrome,H01355,Retrograde endocannabinoid signaling,hsa04723
Kearns-Sayre syndrome,H01355,Cardiac muscle contraction,hsa04260
Leber hereditary optic neuropathy and dystonia,H01365,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Thermogenesis,hsa04714
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Oxidative phosphorylation,hsa00190
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Porphyrin metabolism,hsa00860
Cytochrome c oxidase (COX) deficiency; Mitochondrial complex IV deficiency (MT-C4D),H01368,Cardiac muscle contraction,hsa04260
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Leigh syndrome,H01354,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Mitochondrial complex I deficiency,H00473,Oxidative phosphorylation,hsa00190
Mitochondrial complex I deficiency,H00473,Thermogenesis,hsa04714
Mitochondrial complex I deficiency,H00473,Retrograde endocannabinoid signaling,hsa04723
Microphthalmia with linear skin defects syndrome; Linear skin defects with multiple congenital anomalies; MIDAS syndrome,H01904,Oxidative phosphorylation,hsa00190
Microphthalmia with linear skin defects syndrome; Linear skin defects with multiple congenital anomalies; MIDAS syndrome,H01904,Thermogenesis,hsa04714
