涉及疾病,涉及疾病的编号,网络,网络ID
Charcot-Marie-Tooth disease,H00264,Autophagy,nt06532
Charcot-Marie-Tooth disease,H00264,Mitophagy,nt06536
Charcot-Marie-Tooth disease,H00264,Cytoskeleton in muscle cells,nt06539
Inclusion body myopathy with Paget disease of bone and frontotemporal dementia,H02031,DNA replication,nt06509
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,DNA replication,nt06509
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Necroptosis,nt06527
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Autophagy,nt06532
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Mitophagy,nt06536
Myocardial infarction,H01730,Coagulation cascade,nt06514
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Myocardial infarction,H01730,Coagulation cascade,nt06514
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Spinal muscular atrophy,H00455,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,DNA replication,nt06509
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Necroptosis,nt06527
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Autophagy,nt06532
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Mitophagy,nt06536
Breast cancer,H00031,Breast cancer,nt06270
Breast cancer,H00031,Double-strand break repair,nt06506
Breast cancer,H00031,Interstrand crosslink repair,nt06508
Breast cancer,H00031,PI3K signaling,nt06530
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Retinitis pigmentosa,H00527,Efferocytosis,nt06535
Neurodevelopmental disorder with structural brain abnormalities,H02470,"Glycine, serine and arginine metabolism",nt06033
Neurodevelopmental disorder with structural brain abnormalities,H02470,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Primary open angle glaucoma,H00612,Autophagy,nt06532
Primary open angle glaucoma,H00612,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Parkinson disease,H00057,Dopamine and serotonin metabolism,nt06028
Parkinson disease,H00057,Parkinson disease,nt06463
Parkinson disease,H00057,Pathways of neurodegeneration,nt06466
Parkinson disease,H00057,Unfolded protein response,nt06534
Parkinson disease,H00057,Efferocytosis,nt06535
Parkinson disease,H00057,Mitophagy,nt06536
Parkinsonian syndrome,H01600,Mitophagy,nt06536
Retinitis pigmentosa,H00527,Efferocytosis,nt06535
Neurodevelopmental disorder with structural brain abnormalities,H02470,"Glycine, serine and arginine metabolism",nt06033
Neurodevelopmental disorder with structural brain abnormalities,H02470,Autophagy,nt06532
Paget disease of bone,H00437,TNF signaling,nt06516
Paget disease of bone,H00437,Autophagy,nt06532
Paget disease of bone,H00437,Mitophagy,nt06536
Distal myopathy,H00594,Autophagy,nt06532
Distal myopathy,H00594,Mitophagy,nt06536
Distal myopathy,H00594,Cytoskeleton in muscle cells,nt06539
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,DNA replication,nt06509
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Necroptosis,nt06527
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Autophagy,nt06532
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Mitophagy,nt06536
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,DNA replication,nt06509
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Necroptosis,nt06527
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Autophagy,nt06532
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Mitophagy,nt06536
Infection-induced acute encephalopathy,H02536,TLR signaling,nt06517
Infection-induced acute encephalopathy,H02536,Necroptosis,nt06527
Paget disease of bone,H00437,TNF signaling,nt06516
Paget disease of bone,H00437,Autophagy,nt06532
Paget disease of bone,H00437,Mitophagy,nt06536
Distal myopathy,H00594,Autophagy,nt06532
Distal myopathy,H00594,Mitophagy,nt06536
Distal myopathy,H00594,Cytoskeleton in muscle cells,nt06539
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,DNA replication,nt06509
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Necroptosis,nt06527
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Autophagy,nt06532
Frontotemporal dementia and amyotrophic lateral sclerosis,H02342,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Primary open angle glaucoma,H00612,Autophagy,nt06532
Primary open angle glaucoma,H00612,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Chronic lymphocytic leukemia,H00005,Double-strand break repair,nt06506
Small cell lung cancer,H00013,Small cell lung cancer,nt06267
Small cell lung cancer,H00013,Chromosome cohesion and segregation,nt06512
Small cell lung cancer,H00013,Apoptosis,nt06524
Cervical cancer,H00030,Human papillomavirus (HPV),nt06166
Cervical cancer,H00030,NOTCH signaling,nt06511
Cervical cancer,H00030,TNF signaling,nt06516
Cervical cancer,H00030,TLR signaling,nt06517
Cervical cancer,H00030,mTOR signaling,nt06522
Cervical cancer,H00030,Apoptosis,nt06524
Kaposi sarcoma,H00041,Kaposi sarcoma-associated herpesvirus (KSHV),nt06164
Kaposi sarcoma,H00041,WNT signaling,nt06505
Kaposi sarcoma,H00041,Complement cascade,nt06513
Kaposi sarcoma,H00041,TNF signaling,nt06516
Kaposi sarcoma,H00041,TLR signaling,nt06517
Kaposi sarcoma,H00041,JAK-STAT signaling,nt06518
Kaposi sarcoma,H00041,Apoptosis,nt06524
Kaposi sarcoma,H00041,Autophagy,nt06532
Kaposi sarcoma,H00041,Chemokine signaling,nt06533
Nasopharyngeal cancer,H00054,TNF signaling,nt06516
Nasopharyngeal cancer,H00054,TLR signaling,nt06517
Nasopharyngeal cancer,H00054,JAK-STAT signaling,nt06518
Nasopharyngeal cancer,H00054,RLR signaling,nt06519
Nasopharyngeal cancer,H00054,Apoptosis,nt06524
Nasopharyngeal cancer,H00054,TCR/BCR signaling,nt06537
Colorectal cancer,H00020,Colorectal cancer,nt06260
Colorectal cancer,H00020,Mismatch repair,nt06503
Colorectal cancer,H00020,WNT signaling,nt06505
Colorectal cancer,H00020,TGFB signaling,nt06507
Colorectal cancer,H00020,Regulation of kinetochore-microtubule interactions,nt06515
Colorectal cancer,H00020,Apoptosis,nt06524
Thrombocytopenia (THC),H00978,Apoptosis,nt06524
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Cytochrome c oxidase (COX) deficiency,H01368,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Mitochondrial complex I deficiency,H00473,Thermogenesis,nt06529
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
Amyotrophic lateral sclerosis (ALS),H00058,Unfolded protein response,nt06534
Amyotrophic lateral sclerosis (ALS),H00058,Mitophagy,nt06536
Distal hereditary motor neuropathies,H00856,Regulation of kinetochore-microtubule interactions,nt06515
Perry syndrome,H00879,Regulation of kinetochore-microtubule interactions,nt06515
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Spermatogenic failure,H01282,PI3K signaling,nt06530
Primary ciliary dyskinesia,H00564,DNA replication,nt06509
Amyotrophic lateral sclerosis (ALS),H00058,Amyotrophic lateral sclerosis,nt06464
Amyotrophic lateral sclerosis (ALS),H00058,Pathways of neurodegeneration,nt06466
Amyotrophic lateral sclerosis (ALS),H00058,Regulation of kinetochore-microtubule interactions,nt06515
Amyotrophic lateral sclerosis (ALS),H00058,PI3K signaling,nt06530
Amyotrophic lateral sclerosis (ALS),H00058,Autophagy,nt06532
